 d-2	 d-1	 d0	 d+1	 d+2
1.002511722259374807e+02 1.002414609673247838e+02 1.002022999999984165e+02 9.994606601973150362e+01 9.669812769343603520e+01
1.002486867331887765e+02 1.002393033331421606e+02 1.002005999999983601e+02 9.994507869183061644e+01 9.666163403802873688e+01
1.002484405102112675e+02 1.002393755129292714e+02 1.002010999999983767e+02 9.994644478765816586e+01 9.660884818893582349e+01
1.002412746241475503e+02 1.002325638053114147e+02 1.001947999999981676e+02 9.994116470019950782e+01 9.654047033441143810e+01
1.002363875004768090e+02 1.002275238967272628e+02 1.001894999999979916e+02 9.993636863366646139e+01 9.644333902564554251e+01
1.002384605018211516e+02 1.002291834320498651e+02 1.001903999999980215e+02 9.993702034294678072e+01 9.635897204330842669e+01
1.002326285470225571e+02 1.002232373434900126e+02 1.001841999999978157e+02 9.993071428181114868e+01 9.631004239169627112e+01
1.002279042628017578e+02 1.002179817169182172e+02 1.001779999999976098e+02 9.992371401357750926e+01 9.624852598771005319e+01
1.002278413372483215e+02 1.002175921376439476e+02 1.001769999999975767e+02 9.992208684600710455e+01 9.622415151502198682e+01
1.002241653749770762e+02 1.002126733197897295e+02 1.001696999999973343e+02 9.991214867920838572e+01 9.613975732825552711e+01
1.002228034127363969e+02 1.002099894388395853e+02 1.001638999999971418e+02 9.990206656366639493e+01 9.604249694436840912e+01
1.002184739240425273e+02 1.002046573690819145e+02 1.001553999999968596e+02 9.988796336227771633e+01 9.592733391897279205e+01
1.002273694680300906e+02 1.002126715393563785e+02 1.001603999999970256e+02 9.988676453715468995e+01 9.582998691138449487e+01
1.002287859074502450e+02 1.002141381287995472e+02 1.001615999999970654e+02 9.988683824989696802e+01 9.580917709564432982e+01
1.002316662798699838e+02 1.002173951516254817e+02 1.001642999999971551e+02 9.988582065206679772e+01 9.573603753097309266e+01
1.002308694349345899e+02 1.002167785256573040e+02 1.001636999999971351e+02 9.988418721050902604e+01 9.571087464607866480e+01
1.002321679564688139e+02 1.002184059943504479e+02 1.001653999999971916e+02 9.988384030639190314e+01 9.566318564376568645e+01
1.002272945260218648e+02 1.002138367137008572e+02 1.001610999999970488e+02 9.987819991643380035e+01 9.561985904464313535e+01
1.002253788698663897e+02 1.002119793911889332e+02 1.001591999999969858e+02 9.987419195538606687e+01 9.556333201457344728e+01
1.002288316874324750e+02 1.002152034805243233e+02 1.001619999999970787e+02 9.987264581182822099e+01 9.545259250436815535e+01
1.002284391702918214e+02 1.002149190739582991e+02 1.001618999999970754e+02 9.987107538493728498e+01 9.539931604403513177e+01
1.002289687334036472e+02 1.002154968331008433e+02 1.001626999999971019e+02 9.986980368419696674e+01 9.531554749858084108e+01
1.002307485439506536e+02 1.002172887173907441e+02 1.001645999999971650e+02 9.987088474675472582e+01 9.527638931796693100e+01
1.002241479628252705e+02 1.002108211963731890e+02 1.001585999999969658e+02 9.986309368595597391e+01 9.515728018741603478e+01
1.002272329543537239e+02 1.002135267725255119e+02 1.001607999999970389e+02 9.986372492348657204e+01 9.509142480710764289e+01
1.002283740901799831e+02 1.002146535527295015e+02 1.001618999999970754e+02 9.986463985669071519e+01 9.508240794787981542e+01
1.002306794084496175e+02 1.002169704319348114e+02 1.001641999999971517e+02 9.986610383465007601e+01 9.503095525178189007e+01
1.002335053897926116e+02 1.002199518497308475e+02 1.001673999999972580e+02 9.986883035133213582e+01 9.498502044244121123e+01
1.002239235531063457e+02 1.002110409499003083e+02 1.001595999999969990e+02 9.986090754793328017e+01 9.487545159106058179e+01
1.002194497824687289e+02 1.002061841760092591e+02 1.001542999999968231e+02 9.985477468467114193e+01 9.480696615922791182e+01
1.002173067193421332e+02 1.002029629690255490e+02 1.001493999999966604e+02 9.984751065429207983e+01 9.469232030076591400e+01
1.002068650615357512e+02 1.001919566032878492e+02 1.001371999999962554e+02 9.983339253326002449e+01 9.460976153509338360e+01
1.002102334523964089e+02 1.001938109389027431e+02 1.001359999999962156e+02 9.982786853719360920e+01 9.451013364004504069e+01
1.002189309976787968e+02 1.002016748035082969e+02 1.001413999999963949e+02 9.982862540031158005e+01 9.440930801143937856e+01
1.002192974642489389e+02 1.002023399640509069e+02 1.001405999999963683e+02 9.982187326942229788e+01 9.423759144402703214e+01
1.002298397123160498e+02 1.002131127291803523e+02 1.001503999999966936e+02 9.982580423880457943e+01 9.406699894003725149e+01
1.002316254186061997e+02 1.002161955351389793e+02 1.001546999999968364e+02 9.982631723989358363e+01 9.388741265807793468e+01
1.002327125536402264e+02 1.002181281120437575e+02 1.001578999999969426e+02 9.982737251940174872e+01 9.374440690309448598e+01
1.002276608197072818e+02 1.002146387045097526e+02 1.001573999999969260e+02 9.982387996049234857e+01 9.344462390361972837e+01
1.002240386720218197e+02 1.002115084294446774e+02 1.001567999999969061e+02 9.981999137979644843e+01 9.301660888113416092e+01
1.002198487261373288e+02 1.002072104040179283e+02 1.001529999999967799e+02 9.981510926337628575e+01 9.283240743623342439e+01
1.002105892355942700e+02 1.001970769169529945e+02 1.001429999999964480e+02 9.980206882395444268e+01 9.236771258472818147e+01
1.002123550180964742e+02 1.001974375702569802e+02 1.001416999999964048e+02 9.979694948986494296e+01 9.196489892847772296e+01
1.002142637295014254e+02 1.001992681359679835e+02 1.001433999999964612e+02 9.979832808368013275e+01 9.193181973585625144e+01
1.002129138908308335e+02 1.001975787638189104e+02 1.001410999999963849e+02 9.979458533815198962e+01 9.176427847041099994e+01
1.002083059600946058e+02 1.001915928838882905e+02 1.001321999999960894e+02 9.977958095033795871e+01 9.111673969737861967e+01
1.002102018639345857e+02 1.001925370167339508e+02 1.001304999999960330e+02 9.977221789892591630e+01 9.063155956603981167e+01
1.002069636335155423e+02 1.001889252460505872e+02 1.001247999999958438e+02 9.976048312672888585e+01 9.009893147579839479e+01
1.002143666384510681e+02 1.001960283209159286e+02 1.001303999999960297e+02 9.976144207624876969e+01 8.972341434870392618e+01
1.002115977506463054e+02 1.001934380993398008e+02 1.001275999999959367e+02 9.975669052968676453e+01 8.952423236189534350e+01
1.002059795621300822e+02 1.001878662389142960e+02 1.001218999999957475e+02 9.975003526019186495e+01 8.942602540258531008e+01
1.002042057516062101e+02 1.001856622747860968e+02 1.001174999999956015e+02 9.973665453040827344e+01 8.866733641687955014e+01
1.002018655440841286e+02 1.001832171208537829e+02 1.001145999999955052e+02 9.973158607340346293e+01 8.847741438052175056e+01
1.002034560343196858e+02 1.001846818869182130e+02 1.001156999999955417e+02 9.973123275702745616e+01 8.835915882997373672e+01
1.002140931781481186e+02 1.001950369012355395e+02 1.001250999999958538e+02 9.973609473097629063e+01 8.797671056889906538e+01
1.002109232534825196e+02 1.001932524763763013e+02 1.001246999999958405e+02 9.972964124088703386e+01 8.715896438651144251e+01
1.002111286455638890e+02 1.001935078023114727e+02 1.001250999999958538e+02 9.972909394251173865e+01 8.700468167127449703e+01
1.002106589093018840e+02 1.001930534929575742e+02 1.001246999999958405e+02 9.972841770085749147e+01 8.695381668897370275e+01
1.002167773142220426e+02 1.001992043651805773e+02 1.001309999999960496e+02 9.973400205177378552e+01 8.682085204534216416e+01
1.002123459565673329e+02 1.001949760081293732e+02 1.001271999999959235e+02 9.972994955992206201e+01 8.669742257490246118e+01
1.002115715243742784e+02 1.001943286307872256e+02 1.001269999999959168e+02 9.972904898148178177e+01 8.646244533505618790e+01
1.002124819171596641e+02 1.001952839149282397e+02 1.001281999999959567e+02 9.972990444706042013e+01 8.630956966548471598e+01
1.002128791794335712e+02 1.001957201606323906e+02 1.001287999999959766e+02 9.973042841465473884e+01 8.622640562502580508e+01
1.002107922028654770e+02 1.001936676320795954e+02 1.001268999999959135e+02 9.972850509515156148e+01 8.614524806504043397e+01
1.002075119766571021e+02 1.001898769708434997e+02 1.001229999999957840e+02 9.972355464020898808e+01 8.551244338667520140e+01
1.002228547388928206e+02 1.002048750523884166e+02 1.001373999999962621e+02 9.973711036428812804e+01 8.528146720736022246e+01
1.002232796355883266e+02 1.002066715316205148e+02 1.001411999999963882e+02 9.974239688778570212e+01 8.490750364809009909e+01
1.002161442590360139e+02 1.002000015826422725e+02 1.001354999999961990e+02 9.973776824199870816e+01 8.470350394656082926e+01
1.002123850438795785e+02 1.001962428810358290e+02 1.001318999999960795e+02 9.973448391951643544e+01 8.458782813985840221e+01
1.002141182733145683e+02 1.001979539787451046e+02 1.001335999999961359e+02 9.973620412491483478e+01 8.457029679214949169e+01
1.002152262762271135e+02 1.001990168523076363e+02 1.001346999999961724e+02 9.973748699958218822e+01 8.448765217632090696e+01
1.002201970253892824e+02 1.002039287982156566e+02 1.001399999999963484e+02 9.974392186495997237e+01 8.410035225889410526e+01
1.002257386288890189e+02 1.002098290538156249e+02 1.001466999999965708e+02 9.975197361528540796e+01 8.385683225994040413e+01
1.002193146567417443e+02 1.002038015405767197e+02 1.001414999999963982e+02 9.974803268229482001e+01 8.370817971619561604e+01
1.002168229835044428e+02 1.002013285668871418e+02 1.001391999999963218e+02 9.974624711844413127e+01 8.362065059934835176e+01
1.002157026757996618e+02 1.002001222252132351e+02 1.001379999999962820e+02 9.974545265049420095e+01 8.353071781980128208e+01
1.002177949138872748e+02 1.002020632131903000e+02 1.001397999999963417e+02 9.974749719433594919e+01 8.344685139462367829e+01
1.002143283053023026e+02 1.001985262748440135e+02 1.001362999999962256e+02 9.974508299649970411e+01 8.318431115120175434e+01
1.002178196123303735e+02 1.002019014859911721e+02 1.001394999999963318e+02 9.974841435716108151e+01 8.310281127650851829e+01
1.002269478823203741e+02 1.002111001342062764e+02 1.001487999999966405e+02 9.975849491413443104e+01 8.290120422682565504e+01
1.002266041432914534e+02 1.002109598785530977e+02 1.001489999999966471e+02 9.975919000572379503e+01 8.285082488094352016e+01
1.002211238169944494e+02 1.002060124137747152e+02 1.001449999999965144e+02 9.975663944804445293e+01 8.270236013542830733e+01
1.002228927913734395e+02 1.002077801912772088e+02 1.001467999999965741e+02 9.975857969018166216e+01 8.268150217579392347e+01
1.002205850925914064e+02 1.002054992137847194e+02 1.001445999999965011e+02 9.975657805218948226e+01 8.265476613344463885e+01
1.002179833514576188e+02 1.002028877121724264e+02 1.001420999999964181e+02 9.975458828730116068e+01 8.257114816054343009e+01
1.002181172937388567e+02 1.002030044644399851e+02 1.001421999999964214e+02 9.975471247864950897e+01 8.256314245630336757e+01
1.002213718545987291e+02 1.002060851897139315e+02 1.001450999999965177e+02 9.975779104370640482e+01 8.249731267671830892e+01
1.002222984536890209e+02 1.002070316263871774e+02 1.001460999999965509e+02 9.975897477548836889e+01 8.246989854626247052e+01
1.002217986735066262e+02 1.002065637332236889e+02 1.001456999999965376e+02 9.975873744907319463e+01 8.244975033662791475e+01
1.002399559611238402e+02 1.002247235551045179e+02 1.001638999999971418e+02 9.977721615159968849e+01 8.242038039582465103e+01
1.002344567271903344e+02 1.002200454054161725e+02 1.001605999999970322e+02 9.977542854903302327e+01 8.239093330600367437e+01
1.002288927366205513e+02 1.002149313941249744e+02 1.001563999999968928e+02 9.977245792807786984e+01 8.236292901866822547e+01
1.002175816113979323e+02 1.002039654554619830e+02 1.001465999999965675e+02 9.976491112244212900e+01 8.229774251696646559e+01
1.002236393922860458e+02 1.002096007647117091e+02 1.001517999999967401e+02 9.977028885030233596e+01 8.227829427224104109e+01
1.002158657163402751e+02 1.002014618049084902e+02 1.001436999999964712e+02 9.976438221279639151e+01 8.217717090473843200e+01
1.002137089315712188e+02 1.001986510218261515e+02 1.001398999999963451e+02 9.976056712566841611e+01 8.212582863784820120e+01
1.002250312734286837e+02 1.002092624518792263e+02 1.001491999999966538e+02 9.976928498911854604e+01 8.208500448630715596e+01
1.002256599811261566e+02 1.002099642579275383e+02 1.001498999999966770e+02 9.977011810910009615e+01 8.206831591451192764e+01
1.002151767245114087e+02 1.001997191677571379e+02 1.001396999999963384e+02 9.976030119427123566e+01 8.200780526319870489e+01
1.002310293155510408e+02 1.002142103566099678e+02 1.001513999999967268e+02 9.976980114226813612e+01 8.190659459902428807e+01
1.002334687685349195e+02 1.002169623702308314e+02 1.001543999999968264e+02 9.977286618085076952e+01 8.188449852073659940e+01
1.002323790087031057e+02 1.002173262800249205e+02 1.001563999999968928e+02 9.977581865027258345e+01 8.180136948374911299e+01
1.002321308828223039e+02 1.002177613663828737e+02 1.001579999999969459e+02 9.977844399543019449e+01 8.174026180026308452e+01
1.002239407253308769e+02 1.002102252044285535e+02 1.001518999999967434e+02 9.977392320305158080e+01 8.165724066136263559e+01
1.002258041251316882e+02 1.002119917429383520e+02 1.001536999999968032e+02 9.977593933496545731e+01 8.163346431069655296e+01
1.002252499368763239e+02 1.002113483438388073e+02 1.001532999999967899e+02 9.977617732923791039e+01 8.158322121669462490e+01
1.002152276041444026e+02 1.002010072318613254e+02 1.001430999999964513e+02 9.976701929395382251e+01 8.147922093579180114e+01
1.002174577869425462e+02 1.002030557578103469e+02 1.001448999999965110e+02 9.976869930287445243e+01 8.146794086197255069e+01
1.002248129898630822e+02 1.002100556816813111e+02 1.001513999999967268e+02 9.977499038065340642e+01 8.144360381172019459e+01
1.002322006328326864e+02 1.002174004274371981e+02 1.001586999999969692e+02 9.978274376522718114e+01 8.138694684896827880e+01
1.002364841830351878e+02 1.002230567791752520e+02 1.001665999999972314e+02 9.979414629713103579e+01 8.123179493414308183e+01
1.002450239703165238e+02 1.002319823108864654e+02 1.001763999999975567e+02 9.980544834824503653e+01 8.119521927440059983e+01
