Ticker,Per,Date,Time,Open,High,Low,Close,Vol
US2.AAPL,1,20170301,09:31:00,137.8900000,138.0000000,137.8800000,137.9500000,12370
US2.AAPL,1,20170301,09:32:00,137.9500000,137.9800000,137.8800000,137.9600000,8738
US2.AAPL,1,20170301,09:33:00,137.9600000,137.9600000,137.7200000,137.8100000,5005
US2.AAPL,1,20170301,09:34:00,137.8400000,137.9700000,137.8300000,137.8700000,7138
US2.AAPL,1,20170301,09:35:00,137.8800000,137.8800000,137.7900000,137.8300000,9587
US2.AAPL,1,20170301,09:36:00,137.8200000,137.8300000,137.6100000,137.6100000,11351
US2.AAPL,1,20170301,09:37:00,137.6200000,137.8100000,137.6200000,137.8100000,20833
US2.AAPL,1,20170301,09:38:00,137.8150000,137.8300000,137.7000000,137.7900000,9387
US2.AAPL,1,20170301,09:39:00,137.7700000,137.8000000,137.7400000,137.7400000,6230
US2.AAPL,1,20170301,09:40:00,137.7500000,137.8000000,137.7300000,137.7800000,7921
US2.AAPL,1,20170301,09:41:00,137.7700000,137.7700000,137.6800000,137.6800000,6977
US2.AAPL,1,20170301,09:42:00,137.7000000,137.7600000,137.7000000,137.7300000,5059
US2.AAPL,1,20170301,09:43:00,137.7400000,137.9000000,137.7400000,137.9000000,7739
US2.AAPL,1,20170301,09:44:00,137.8900000,137.8900000,137.8450000,137.8500000,3516
US2.AAPL,1,20170301,09:45:00,137.8500000,137.9700000,137.8500000,137.9400000,13831
US2.AAPL,1,20170301,09:46:00,137.9400000,137.9600000,137.9200000,137.9550000,7243
US2.AAPL,1,20170301,09:47:00,137.9700000,138.0000000,137.8600000,137.8800000,13691
US2.AAPL,1,20170301,09:48:00,137.8900000,138.0600000,137.8900000,138.0400000,13113
US2.AAPL,1,20170301,09:49:00,138.0450000,138.2200000,138.0200000,138.2200000,13578
US2.AAPL,1,20170301,09:50:00,138.2150000,138.2500000,138.1950000,138.1950000,5475
US2.AAPL,1,20170301,09:51:00,138.1950000,138.3000000,138.1850000,138.2600000,26363
US2.AAPL,1,20170301,09:52:00,138.2400000,138.2400000,138.1200000,138.1400000,7317
US2.AAPL,1,20170301,09:53:00,138.1400000,138.1400000,138.0600000,138.0900000,7298
US2.AAPL,1,20170301,09:54:00,138.0500000,138.1000000,138.0300000,138.0900000,9986
US2.AAPL,1,20170301,09:55:00,138.1000000,138.1600000,138.0900000,138.1000000,7235
US2.AAPL,1,20170301,09:56:00,138.1100000,138.1400000,138.0800000,138.1400000,4915
US2.AAPL,1,20170301,09:57:00,138.1400000,138.1850000,138.1200000,138.1200000,7088
US2.AAPL,1,20170301,09:58:00,138.1500000,138.1800000,138.1300000,138.1500000,7037
US2.AAPL,1,20170301,09:59:00,138.1500000,138.1600000,138.1200000,138.1300000,2700
US2.AAPL,1,20170301,10:00:00,138.1200000,138.1500000,138.1100000,138.1400000,4442
US2.AAPL,1,20170301,10:01:00,138.1700000,138.2100000,138.1400000,138.1900000,6484
US2.AAPL,1,20170301,10:02:00,138.2000000,138.3500000,138.1700000,138.3200000,9367
US2.AAPL,1,20170301,10:03:00,138.3200000,138.4300000,138.3100000,138.4000000,11318
US2.AAPL,1,20170301,10:04:00,138.4100000,138.4100000,138.3400000,138.3800000,3867
US2.AAPL,1,20170301,10:05:00,138.3800000,138.4000000,138.3500000,138.3900000,3978
US2.AAPL,1,20170301,10:06:00,138.3900000,138.4300000,138.3800000,138.3800000,5264
