Date,Open,High,Low,Close,Adj Close,Volume
1995-08-18,153.000000,153.000000,153.000000,153.000000,113.098839,0
1995-08-21,153.000000,153.000000,153.000000,153.000000,113.098839,0
1995-08-22,153.000000,153.000000,153.000000,153.000000,113.098839,0
1995-08-23,158.000000,158.000000,158.000000,158.000000,116.794846,200
1995-08-24,158.000000,158.000000,158.000000,158.000000,116.794846,0
1995-08-25,158.000000,158.000000,158.000000,158.000000,116.794846,0
1995-08-28,158.000000,158.000000,158.000000,158.000000,116.794846,0
1995-08-29,158.000000,158.000000,158.000000,158.000000,116.794846,0
1995-08-30,158.000000,158.000000,158.000000,158.000000,116.794846,0
1995-08-31,158.000000,158.000000,158.000000,158.000000,116.794846,0
1995-09-01,158.000000,158.000000,158.000000,158.000000,116.794846,0
1995-09-05,155.000000,155.000000,155.000000,155.000000,114.577217,100
1995-09-06,155.000000,155.000000,155.000000,155.000000,114.577217,0
1995-09-07,155.000000,155.000000,155.000000,155.000000,114.577217,0
1995-09-08,157.250000,157.250000,157.250000,157.250000,116.240433,100
1995-09-11,157.250000,157.250000,157.250000,157.250000,116.240433,0
1995-09-12,157.250000,157.250000,157.250000,157.250000,116.240433,0
1995-09-13,157.250000,157.250000,157.250000,157.250000,116.240433,0
1995-09-14,157.250000,157.250000,157.250000,157.250000,116.240433,0
1995-09-15,156.000000,156.000000,156.000000,156.000000,115.316422,100
1995-09-18,156.000000,156.000000,156.000000,156.000000,115.316422,0
1995-09-19,154.250000,156.250000,154.250000,156.250000,115.501236,1000
1995-09-20,151.750000,151.750000,151.750000,151.750000,112.174782,1000
1995-09-21,153.250000,153.250000,153.250000,153.250000,113.283585,300
1995-09-22,153.250000,153.250000,153.250000,153.250000,113.283585,0
1995-09-25,153.250000,153.250000,153.250000,153.250000,113.283585,0
1995-09-26,153.250000,153.250000,153.250000,153.250000,113.283585,0
1995-09-27,153.250000,153.250000,153.250000,153.250000,113.283585,0
1995-09-28,153.250000,153.250000,153.250000,153.250000,113.865303,0
1995-09-29,153.250000,153.250000,153.250000,153.250000,113.865303,0
1995-10-02,153.250000,153.250000,153.250000,153.250000,113.865303,0
1995-10-03,153.250000,153.250000,153.250000,153.250000,113.865303,0
1995-10-04,153.250000,153.250000,153.250000,153.250000,113.865303,0
1995-10-05,153.250000,153.250000,153.250000,153.250000,113.865303,0
1995-10-06,160.000000,160.000000,160.000000,160.000000,118.880592,300
1995-10-09,160.000000,160.000000,160.000000,160.000000,118.880592,0
1995-10-10,160.000000,160.000000,160.000000,160.000000,118.880592,0
1995-10-11,160.000000,160.000000,160.000000,160.000000,118.880592,0
1995-10-12,160.000000,160.000000,160.000000,160.000000,118.880592,0
1995-10-13,160.000000,160.000000,160.000000,160.000000,118.880592,0
1995-10-16,160.000000,160.000000,160.000000,160.000000,118.880592,0
1995-10-17,160.000000,160.000000,160.000000,160.000000,118.880592,0
1995-10-18,160.000000,160.000000,160.000000,160.000000,118.880592,0
1995-10-19,160.000000,160.000000,160.000000,160.000000,118.880592,0
1995-10-20,160.000000,160.000000,160.000000,160.000000,118.880592,0
1995-10-23,162.000000,162.000000,162.000000,162.000000,120.366608,300
1995-10-24,162.000000,162.000000,162.000000,162.000000,120.366608,0
1995-10-25,162.000000,162.000000,162.000000,162.000000,120.366608,0
1995-10-26,162.000000,162.000000,162.000000,162.000000,120.366608,0
1995-10-27,158.250000,158.250000,158.250000,158.250000,117.580353,300
1995-10-30,158.250000,158.250000,158.250000,158.250000,117.580353,0
1995-10-31,158.250000,158.250000,158.250000,158.250000,117.580353,0
1995-11-01,158.250000,158.250000,158.250000,158.250000,117.580353,0
1995-11-02,158.250000,158.250000,158.250000,158.250000,117.580353,0
1995-11-03,157.750000,157.750000,157.750000,157.750000,117.208801,400
1995-11-06,157.750000,157.750000,157.750000,157.750000,117.208801,0
1995-11-07,157.750000,157.750000,157.750000,157.750000,117.208801,0
1995-11-08,157.750000,157.750000,157.750000,157.750000,117.208801,0
